posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
310,795.866104,310,1033.25,,770.866104,-8.25
311,809.7394965,311,1033.25,,784.7394965,-8.25
312,823.6146988,312,1033.25,,798.6146988,-8.25
313,837.4833768,313,1033.25,,812.4833768,-8.25
314,851.3548281,314,1033.25,,826.3548281,-8.25
315,865.2233435,315,1033.25,,840.2233435,-8.25
316,879.095646,316,1033.25,,854.095646,-8.25
317,892.9654808,317,1033.25,,867.9654808,-8.25
318,906.8369984,318,1029.95,,881.8369984,-4.95
319,920.7016213,319,1029.95,,895.7016213,-4.95
320,934.5773399,320,1029.95,,909.5773399,-4.95
321,948.4511127,321,1029.95,,923.4511127,-4.95
322,962.3232742,322,1029.95,,937.3232742,-4.95
323,976.1911448,323,1029.95,,951.1911448,-4.95
324,989.0926251,324,1029.95,,964.0926251,-4.95
325,998.7934705,325,1029.95,,973.7934705,-4.95
326,1005.506892,326,1029.95,,980.5068921,-4.95
327,1009.703166,327,1029.95,,984.7031664,-4.95
328,1013.61662,328,1029.95,,988.6166203,-4.95
329,1018.202669,329,1029.95,,993.2026688,-4.95
330,1023.42158,330,1029.95,,998.4215799,-4.95
331,1029.248985,331,1029.95,,1004.248985,-4.95
332,1035.672058,332,1029.95,,1010.672058,-4.95
333,1042.734042,333,1029.95,,1017.734042,-4.95
334,1050.371086,334,1029.95,,1025.371086,-4.95
335,1058.622269,335,1029.95,,1033.622269,-4.95
336,1067.544931,336,1029.95,,1042.544931,-4.95
337,1077.130211,337,1029.95,,1052.130211,-4.95
338,1087.298549,338,1029.95,,1062.298549,-4.95
339,1098.060051,339,1029.95,,1073.060051,-4.95
340,1109.442373,340,1029.95,,1084.442373,-4.95
341,1121.450875,341,1029.95,,1096.450875,-4.95
342,1134.046157,342,1029.95,,1109.046157,-4.95
343,1147.27499,343,1029.95,,1122.27499,-4.95
344,1161.036802,344,1029.95,,1136.036802,-4.95
345,1174.904639,345,1029.95,,1149.904639,-4.95
346,1188.770532,346,1029.95,,1163.770532,-4.95
347,1202.639411,347,1029.95,,1177.639411,-4.95
348,1216.505931,348,1029.95,,1191.505931,-4.95
349,1230.375362,349,1026.65,,1205.375362,-1.65
350,1244.246379,350,1026.65,,1219.246379,-1.65
351,1258.115543,351,1026.65,,1233.115543,-1.65
352,1271.988103,352,1026.65,,1246.988103,-1.65
353,1285.857523,353,1026.65,,1260.857523,-1.65
354,1299.728375,354,1026.65,,1274.728375,-1.65
355,1313.591535,355,1026.65,,1288.591535,-1.65
356,1327.456267,356,1026.65,,1302.456267,-1.65
357,1341.333342,357,1026.65,,1316.333342,-1.65
358,1355.205124,358,1026.65,,1330.205124,-1.65
359,1369.069814,359,1026.65,,1344.069814,-1.65
360,1382.940115,360,1026.65,,1357.940115,-1.65
361,1396.803464,361,1026.65,,1371.803464,-1.65
362,1410.67455,362,1026.65,,1385.67455,-1.65
363,1424.546665,363,1026.65,,1399.546665,-1.65
364,1438.424143,364,1026.65,,1413.424143,-1.65
365,1452.295628,365,1026.65,,1427.295628,-1.65
366,1466.168736,366,1026.65,,1441.168736,-1.65
367,1480.037111,367,1026.65,,1455.037111,-1.65
368,1492.107071,368,1026.65,,1467.107071,-1.65
369,1500.950593,369,1026.65,,1475.950593,-1.65
370,1506.899462,370,1026.65,,1481.899462,-1.65
371,1510.461712,371,1026.65,,1485.461712,-1.65
372,1512.287949,372,1026.65,,1487.287949,-1.65
373,1513.073848,373,1026.65,,1488.073848,-1.65
374,1513.514601,374,1026.65,,1488.514601,-1.65
375,1513.549,375,1026.65,,1488.549,-1.65
376,1513.549,376,1026.65,,1488.549,-1.65
377,1513.549,377,1026.65,,1488.549,-1.65
378,1513.549,378,1026.65,,1488.549,-1.65
379,1513.549,379,1026.65,,1488.549,-1.65
380,1513.549,380,1026.65,,1488.549,-1.65
381,1513.549,381,1026.65,,1488.549,-1.65
382,1513.549,382,1026.65,,1488.549,-1.65
383,1513.549,383,1026.65,,1488.549,-1.65
384,1513.549,384,1026.65,,1488.549,-1.65
385,1513.549,385,1026.65,,1488.549,-1.65
386,1513.549,386,1026.65,,1488.549,-1.65
387,1513.549,387,1026.65,,1488.549,-1.65
388,1513.968781,388,1026.60462,,1488.968781,-1.604619869
389,1515.041883,389,1026.451859,,1490.041883,-1.451858502
390,1516.761909,390,1026.207004,,1491.761909,-1.207004161
391,1519.057732,391,1025.880182,,1494.057732,-0.880182292
392,1521.562732,392,1024.504171,,1496.562732,0.495828855
393,1524.063018,393,1022.296781,,1499.063018,2.703219169
394,1525.921835,394,1018.765137,,1500.921835,6.234862768
395,1526.572915,395,1014.191499,,1501.572915,10.80850071
396,1526.65,396,1008.979608,,1501.65,16.02039151
397,1526.65,397,1003.180918,,1501.65,21.81908163
398,1526.65,398,996.8105278,,1501.65,28.18947225
399,1526.65,399,989.8526882,,1501.65,35.1473118
400,1526.65,400,982.2529539,,1501.65,42.74704613
401,1526.65,401,974.0750666,,1501.65,50.92493342
